AAPL,17337340000
MSFT,7514891248
GOOG,666754904
GOOGL,666754904
AMZN,506440520
FB,2819444501
TSLA,990015158
TSM,5186076000
NVDA,2500000000
V,2126817068
JPM,2988200000
JNJ,2632482092
BABA,2710913650
WMT,2802145927
UNH,942917366
BAC,8627252552
MA,986775042
PG,2427424874
HD,1055358696
ASML,409776831
DIS,1817126595
PYPL,1175032150
ADBE,476400000
CMCSA,4589737229
PFE,5606688356
CRM,971529086
NKE,1583098049
LLY,956580893
CSCO,4221785547
ORCL,2792000000
NFLX,442595888
KO,4316618703
TM,1393264795
NVO,2291502114
XOM,4233562917
VZ,4140116007
DHR,713899565
ABT,1772817349
INTC,4057000000
TMO,393418899
PEP,1382114956
ABBV,1767175532
ACN,634136634
NVS,2236739037
WFC,4106410513
AVGO,410260560
COST,442069091
T,7140000000
MRK,2531374696
SHOP,124788723
MS,1824561070
CVX,1933911944
AZN,3098232698
MDT,1344671106
MCD,746798875
TMUS,1247966318
SAP,1179579340
TXN,923209971
SE,537909531
UPS,871042255
BHP,2528500000
NEE,1961756997
CHTR,204899177
LIN,516411320
QCOM,1128000000
MRNA,403646312
HON,690399265
PM,1558540992
BBL,2528500000
INTU,273259266
RY,1424719142
BMY,2222113553
C,2026785183
UL,2597936042
UNP,652122933
LOW,699000000
HDB,1845435258
BLK,152195794
GS,337097488
SCHW,1888002576
SBUX,1179100000
AXP,794433076
AMD,1212965282
BA,586151904
SNY,2510366030
RTX,1507878091
AMT,455141279
SONY,1239708513
AMGN,567852353
IBM,896320073
NOW,198100000
ISRG,118990744
TD,1818700000
EL,362511874
SQ,459697951
TGT,489651196
AMAT,913980756
RIO,1619086929
BUD,1979728543
PDD,1253288801
JD,1552156000
DE,311942092
SNAP,1581105555
CAT,547471467
TTE,2640255324
GE,1097662889
MMM,578638253
HSBC,4085237653
DEO,583660596
JBHT,631175870
CVS,1319574744
SPGI,241000000
ZM,297074913
GSK,2515857461
SYK,377096272
INFY,4241736856
LMT,276916491
ZTS,473944193
PLD,739251000
VALE,5009084094
BKNG,41059841
ABNB,596399007
MELI,49711650
ANTM,243815480
MO,1844077897
BNTX,242516955
TEAM,251917414
GILD,1253809440
TJX,1206487186
BAM,1568227710
SNOW,296100000
ADP,423080556
BX,715329621
MDLZ,1397817443
USB,1482622714
BTI,2294630989
LRCX,141953681
BP,3361731643
CCI,432196350
PNC,424993233
MU,1125753560
CB,438740033
DUK,769337598
HCA,320141900
FIS,617690708
ENB,2025755195
SHW,263302451
MMC,506625935
UBER,1884346863
FISV,662204715
COF,446113769
DELL,763690159
BNS,1215127000
CNI,707900000
TFC,1334830560
TECH,155566652
CSX,2254495910
ABB,2006000000
COP,1339082083
ILMN,156500000
PTR,1830209778
EQIX,89750207
EW,623327843
ITW,314967814
CME,359138270
FDX,266190927
REGN,106955379
PBR,6522100630
CI,340107539
BDX,287190180
GM,1451723812
MUFG,12833926067
ADSK,220013315
MCO,186200000
SO,1058825814
WBK,3665390264
EQNR,3244549473
ETN,398600000
BMO,648094938
VMW,418857481
ICE,563155196
SAN,17312526720
IBN,3465167054
CL,843513490
WM,421098975
NIO,1638518109
NSC,246972217
DASH,337936424
ECL,286087223
BSX,1423852648
ATVI,777708445
AON,225747147
TWLO,177149747
STLA,3131572425
D,808487324
EMR,597800000
CRWD,225810618
CVNA,172583094
ADI,368214341
AMX,3305000000
WDAY,247000000
NTES,670980678
AMOV,3305000000
APD,221364660
BSBR,7465151611
UBS,3476545714
DOCU,194835125
NXPI,265134880
RELX,1933790077
NOC,160109103
IDXX,85075932
ITUB,9779887151
TRI,495851072
ALGN,79136575
PGR,585300000
PSA,175228245
GD,279541414
PUK,1307806380
LULU,135358283
CPNG,1735585234
BIDU,348058675
SNP,1210712096
CMG,28094868
ING,3903300000
COIN,210928941
CM,449093126
